t_s,from_GHz,to_GHz,trigger,variant,workload_big
65.0,3.3,3.0,proactive,2node_aggressive,
110.0,3.0,2.8,proactive,2node_aggressive,
155.0,2.8,3.0,recovery,2node_aggressive,
205.0,3.0,2.8,proactive,2node_aggressive,
250.0,2.8,3.0,recovery,2node_aggressive,
300.0,3.0,2.8,proactive,2node_aggressive,
340.0,2.8,3.0,recovery,2node_aggressive,
385.0,3.0,2.8,proactive,2node_aggressive,
425.0,2.8,3.0,recovery,2node_aggressive,
470.0,3.0,2.8,proactive,2node_aggressive,
510.0,2.8,3.0,recovery,2node_aggressive,
555.0,3.0,2.8,proactive,2node_aggressive,
595.0,2.8,3.0,recovery,2node_aggressive,
150.0,3.3,3.0,proactive,3node_balanced,
350.0,3.0,2.8,proactive,3node_balanced,
415.0,2.8,3.0,recovery,3node_balanced,
490.0,3.0,2.8,proactive,3node_balanced,
555.0,2.8,3.0,recovery,3node_balanced,
150.0,3.3,3.3,migration_defer,3node_policy,0.6
