t_s,T_die,T_pkg,T_hs,freq_GHz,power_W,proj_perf,variant,T_little,workload_big
0.0,39.74852132641853,26.55315314890349,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
5.0,46.67728651916752,29.404292702398052,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
10.0,51.110387875325756,32.44566168045406,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
15.0,54.62260778026722,35.36802484907076,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
20.0,57.68997119130129,38.09469388487151,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
25.0,60.46569244417167,40.61595475435153,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
30.0,63.00739737660571,42.94068953445996,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
35.0,65.34372055913092,45.0822954053354,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
40.0,67.49387906719966,47.05463646584536,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
45.0,69.47347565994883,48.87092644464411,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
50.0,71.29626532662094,50.54346395920278,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
55.0,72.97473489422065,52.08361239282644,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
60.0,74.52033025677459,53.501846832615676,25.0,3.3,4.5,3.2702999999999998,2node_aggressive,,
65.0,75.94357590244965,54.80781645506276,25.0,3.0,4.5,3.008676,2node_aggressive,,
70.0,73.9767095349161,55.665262438354425,25.0,3.0,3.5,3.008676,2node_aggressive,,
75.0,73.64382269395641,56.13907167866275,25.0,3.0,3.5,3.008676,2node_aggressive,,
80.0,73.76999614656081,56.48294788302717,25.0,3.0,3.5,3.008676,2node_aggressive,,
85.0,74.01284044654393,56.77254900729499,25.0,3.0,3.5,3.008676,2node_aggressive,,
90.0,74.27353581967171,57.03130664076508,25.0,3.0,3.5,3.008676,2node_aggressive,,
95.0,74.52444695124846,57.2672633967578,25.0,3.0,3.5,3.008676,2node_aggressive,,
100.0,74.75867282261356,57.48386365612179,25.0,3.0,3.5,3.008676,2node_aggressive,,
105.0,74.97528750879505,57.68311954869303,25.0,3.0,3.5,3.008676,2node_aggressive,,
110.0,75.17502745146392,57.86654450040226,25.0,2.8,3.5,2.812458,2node_aggressive,,
115.0,73.06482150590588,57.79383118193798,25.0,2.8,2.8,2.812458,2node_aggressive,,
120.0,72.15647954418252,57.50583493507552,25.0,2.8,2.8,2.812458,2node_aggressive,,
125.0,71.6229441034602,57.17593569622414,25.0,2.8,2.8,2.812458,2node_aggressive,,
