
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005000                       # Number of seconds simulated (Second)
simTicks                                   5000000000                       # Number of ticks simulated (Tick)
finalTick                                428087529500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     28.81                       # Real time elapsed on the host (Second)
hostTickRate                                173545802                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3242772                       # Number of bytes of host memory used (Byte)
simInsts                                      7616475                       # Number of instructions simulated (Count)
simOps                                        8899190                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   264361                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     308883                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                303                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles              9928471                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.cpi                   1.672526                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.bigCluster.cpus.ipc                   0.597898                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded             7506232                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded        55376                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued            7327521                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued        40124                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined       801242                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined       532471                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved         3638                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples      8901334                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.823194                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.108496                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::0       5206786     58.49%     58.49% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::1       1134555     12.75%     71.24% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::2       1598783     17.96%     89.20% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::3        852757      9.58%     98.78% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::4        105136      1.18%     99.96% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::5          3317      0.04%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::6             0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::7             0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::8             0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::max_value            5                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::total      8901334                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::IntAlu       964644     53.34%     53.34% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::IntMult         1372      0.08%     53.41% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::IntDiv         1235      0.07%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatAdd            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatCmp            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatCvt            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMult            0      0.00%     53.48% # attempts to use FU when none available (Count)
